type,with_opinion_extraction,summarization_model,summary,input_data_file
how_is_brand,yes,copycat,"excellent product easy to use touch screen protector for ipad touch screen touch pad touch pad <UNK>. perfect gift for my daughter 's birthday present birthday present for her birthday present and she loves. easy to use , easy to follow directions to follow instructions , follow directions and follow. great product for the price i paid for it , great price and fast delivery service. bought this to go with my own purchase of <UNK> recommend it to anyone who want to. love this ipad ! great price for a great product for the price ! i would recommend. bought this to go with my own touch note that i have used it for a while. el producto es de buena calidad sin problemas con las expectativas que se puede decir que decir. very happy with purchase this product and would recommend it to anyone looking for a good deal. ipad is the best ipad i have ever owned , i recommend it to anyone looking for. she loves it and. product arrived on time and in perfect condition , no damage to the ipad stand , <UNK>. love this case ! i have been using it for several months now and still love it",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_brand/0.csv
how_is_memory,yes,copycat,"i have been using apple products for a while now and have never been disappointed by. the samsung galaxy tab 10.1 are not compatible with samsung galaxy note 10.1 inch tablet <UNK>. muy buena compra , excelente producto de buena calidad , lo recomiendo 100 % recomendado 100 %. the sound quality is not the best , but i can 't tell the difference between the. charge lasts a long time and last a long time. would recommend to anyone who want to. ipad touch ipad touch 5th gen ipad touch 4th generation ipad <UNK> not touch screen cover. i have not had any problems with. easy to install , easy install , and easy to follow directions to follow instructions to follow. love this case for my new ipad mini ipad mini memory card , i recommend it to. the fence on the ipad would be better to be able to download apps , but. what else can be said to say about this product , but it does what it should. scratch easily on the screen protector , but not as scratch resistant as i expected it to. purchased for my girlfriend for christmas present for her birthday gift for her girlfriend and she. ipad volume button does not work <UNK> the volume button works <UNK> the ipad volume control. i recommend this product to anyone who want to use their. great product for the price paid for a good price , good quality , good price. exactly what i needed it for a great price i would recommend it to anyone looking for. product arrived on time and in perfect condition as described by seller a product i would recommend",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_memory/0.csv
how_is_sound,yes,copycat,"purchased for my daughter 's birthday gift for her birthday present birthday present for her. product arrived on time and in perfect condition , no damage to the screen protector. excellent product , easy to use touch screen , but not for games play games. the sound quality of the apps are great , but the apps do not respond. cell phone is a perfect fit for the phone screen bubble wrapped screen bubble wrap. excellent ipad for the price point , feel , look and feel <UNK> recommend to. el producto es de excelente calidad de buena calidad de sonido es muy buena calidad. great product for the price , but not recommended to spend a lot of money. very sexy. purchased this for my 4 year old grandson and he loves it. he loves it. great product for the price you can 't go wrong <UNK> recommend highly recommend to. it is a good product , but the sensitivity of the sensitivity is not very. very happy with purchase , have been using it for a year now and have. great price and great product for the price ! i would recommend this to anyone. arrived on time and work great , no complaints , no problems to report ,",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_sound/0.csv
how_is_camera,yes,copycat,"the screen protector is a great addition to the touch screen , but not for. i 've had this ipad for a while now , and have never been disappointed. product arrived on time and in perfect condition , no problems <UNK> recommend this product. excellent value for the price , fast delivery service , fast service , <UNK> ,. excelente producto muy buena calidad , lo recomiendo <UNK> para <UNK> el precio es <UNK>. i recommend it to anyone who want to spend. easy to set up and take care instructions follow directions follow instructions follow care instructions. the product arrived quickly and have been a great addition to my ipad mini ipad. prettier than i expected it to be a little darker shade of blue , but. bought it for my wife 's birthday present birthday present for her birthday gift <UNK>. this is the best keyboard i 've ever owned , have never had a problem. product arrived as promised and have been working fine for me to be able to. the sim card was easy to install , but the screen cracked and shattered the. great product for the price you can 't go wrong with the purchase price and",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_camera/0.csv
how_is_quality_of_speaker,yes,copycat,"easy to install and use love <UNK> recommend this to anyone looking for a good buy. great gift idea for anyone who want to know what to do business with their help. muy buena compra , excelente producto de buena calidad , lo recomiendo 100 % recomendado para. good sound quality for the price paid less than half of the cost of reef electronics. excellent product for the price and performance ratio rate ratio rate as expected <UNK> recommend to. it is a great picture quality and the colors are vibrant and match the picture quality. the capacitive touch screen is not compatible with the ipad based on the picture quality ,. this is a great christmas present gift for my son who loves to be able to. excellent product for the price cost a lot of money.i recommend this product to anyone who. worked great for a few months then quit working and stopped working just a little <UNK>. product arrived on time and in good condition , but not what i expected it to. waste your money on this purchase , don 't waste your time or money , spend. i would recommend this product to anyone. apple products are the best apple products ever made the best investment i 've ever made. excellent product for the price you can 't go wrong <UNK> the price point and buy. what else to say about this product , i have been using it for years and",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_quality_of_speaker/0.csv
rating1,yes,huggingface, The screen keeps going black and will not reset.. it freezes up.. need a refund.. next option in a second.. not pleased!. cheap third party cord not. did not charge.. it was just a ipad totally inoperable.. it didn't work. It will not power on.. headphone port. It runs very slow. bad quality broken and damaged!. worthless!. It was a fraud.. cannot figure out how to switch screens cannot operate it .,copycat_dataset2/rating_wise_with_opinion/p3/rating1/rating1.csv
rating2,yes,huggingface," Reviewer says it was a very crisp and unique look, functioned smoothly . Camera takes lousy, grainy photos . Touch pad works well but the screen resolution will not work . Camera stopped functioning properly weeks after purchase . Touch sensor was not able to update to new platform . It does not run flash flash flash and java .",copycat_dataset2/rating_wise_with_opinion/p3/rating2/rating2.csv
rating3,yes,huggingface, The device is quite slow;. apps are slowly failing and can't be updated.. scratchy scratchy. cheap screen material works a little slow . Camera quality is horrible. Just save and buy a new ipad screen. its dinged up. just an old ipad. Its hard to see videos on it.,copycat_dataset2/rating_wise_with_opinion/p3/rating3/rating3.csv
rating4,yes,huggingface," It's an older model, with the gb. this works great.. ok product. it is slow. good price for a small computer.. going strong. i'm happy with it. it's just a tad expensive.. almost ok.. as promised.. it's almost brand new brand new . It arrived on time with no issues .",copycat_dataset2/rating_wise_with_opinion/p3/rating4/rating4.csv
rating5,yes,huggingface," The ipad works well and came in great condition to be used . The product arrived in ""like new"" condition . The tablet looks brand new and works fine . The best ipad. over a laptop. The best tablet. over the laptop. It has worked perfectly. The product is in way better condition than expected and actually worked perfectly . i simply love it.",copycat_dataset2/rating_wise_with_opinion/p3/rating5/rating5.csv
how_is_display,yes,huggingface," The screen at half brightness, a gb ipad. no flash support.. they'll have at least some flash support . Android market is making a strong showing,. websites. usb/sd/hdmi.. love. the app store first. the only difference i've seen with the ipad . it looks great. it's really lighter than the xoom,. retina hd. more bright and crisp. what you have missed out on.. wifi. increased ram. an app. the screen at . half brightness,. a gB ipad no flash . camera quality is horrible.",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_display/0.csv
how_is_wireless_connection,yes,huggingface," The ipad has magnetic sensors, native multi-tasking support, ram. flash support.. adapters for USB/sd/hdmi.. android.. cable boxes and disc players,. app store first. The only difference i've seen with the ipad. battery gets - hours on a charge,. wi-fi. airprint service and then . configure printer sharing options on my network,. adding html video.. digital camera. virtual keyboard. external storage .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_wireless_connection/0.csv
how_is_battery,yes,huggingface," i purchased a gb ipad. no flash support.. flash support, flash support . android.. greatly expand the native capability. $ each.. it looks great and has never crashed or had a framerate stutter.. gets - hours on a charge,. power it back on.. can't easily use external storage.. $+? it may be bad. very good speed.. it's the same resolution.. facetime. magnetic sensors in the ipad .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_battery/0.csv
how_is_operating_system,yes,huggingface," The screen is supposedly oleophobic . The rear camera will be covered up . The camera quality is horrible . The charger port died after two months and when i tried to fix it,. it serves me well.. google.ipad. didn't meet my needs. It's an older, fully function ipad that is old to old to work. It would not connect to internet. Its dinged up. It does run slowly. It is slow wifi. It can't even open safari. andise.. it will not work.",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_operating_system/0.csv
how_is_processor,yes,huggingface," i purchased a gb ipad and will probably get the ipad. It's really lighter than the xoom,. size,. the battery still holds a c. more bright and crisp. tapered edge. It looks great. The speaker is blown so we have to replace it. It does occasionally freeze,. excellent!. It's a good purchase.. fantastic value and my wife loves it .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_processor/0.csv
how_is_brand,yes,huggingface," i'm very pleased... it looked brand new(not disappointing) i would buy from these folks any day.. it would not connect to internet. not compatible with the current operating system. Its dinged up. its dinged . up. no problems with the device. i think old fashioned wifi works great. i paid for an older ipad. in excellent condition.. it's a good purchase.. fantastic value and my wife loves it. It's an older model,. it stopped working.. it is purfecly working.. very nice. It takes longer to open up than my older version.. as gift.. locked by este lauder.",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_brand/0.csv
how_is_memory,yes,huggingface," i purchased a gb ipad and will probably get the ipad . It's really lighter than the xoom,. the battery still holds a c. c. more bright and crisp . It looks great and has never crashed or had a framerate stutter.. battery gets - hours on a charge,. adding html video.. virtual keyboard.. external storage.. $+?",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_memory/0.csv
how_is_sound,yes,huggingface," The screen at half brightness, lack of expansion. a gb ipad. is exciting and new,. far exceeds its current competitors.. it looks great. better. heavy web video user.. oleophobic. apparently they work reasonably well.. definitely hinders typing speed.. it's a good purchase.. fantastic value and my wife loves it. She loves it.. still working very well.. fast delivery!. amazing minor scratches .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_sound/0.csv
how_is_camera,yes,huggingface," The ipad is extremely slow for a gb ipad . The screen is more bright and crisp . The camera does a substantially better job with video,. doubling as a screen protector . The price of the ipad has been very much lower than the Xoom, but the quality of the camera is better .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_camera/0.csv
how_is_quality_of_speaker,yes,huggingface," The best tablets on the market are exciting and new,. convenient,. relatively unbiased adept. adept. They're exciting . and convenient . The screen is great... the sound is great, no problems.. the charging port or the battery is not working . The best price for a small ipad is a great value and the best service is great .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_quality_of_speaker/0.csv
how_is_display,yes,copycat+huggingface," Product arrived on time and in good condition . Gps unit works great, but it does not work very well on my ipad . Keyboard is slow, but not the best of all of the features i have . Best gps device i have ever owned . Great value for the money you pay for .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_display/0.csv
how_is_wireless_connection,yes,copycat+huggingface," Sound quality of this computer is excellent, but i wish it had. works great for the price i would recommend it to anyone who want to. product arrived on time and in good condition . Screen protector is a great value for the . price .. however, i. can 't.t. was not able to return the screen protector , but it did not work .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_wireless_connection/0.csv
how_is_battery,yes,copycat+huggingface," This is an excellent product for the price i paid for it and the price . The display is nice, but not as good as the original one i have . The sound quality of this tablet is not bad , but not worth the money . This is a great little device to use with use to be able to clean up and clean up .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_battery/0.csv
how_is_operating_system,yes,copycat+huggingface, The sound quality of these speakers are great for the price you can 't go wrong . The ipad touch screen is great but the screen resolution is not clear enough to be <UNK>. The speakers on the ipad stand up to the touch screen but it can be. not compatible with the iPad touch screen .,copycat_dataset2/aspect_wise_with_opinion/p3/how_is_operating_system/0.csv
how_is_processor,yes,copycat+huggingface," This is a great tablet for the price you can 't go wrong it will be the best . The screen is a bit darker than i thought it would be but otherwise it. works well for what i need it to do , but have not been able to connect to my <UNK> page spread .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_processor/0.csv
how_is_brand,yes,copycat+huggingface, The screen is a great touch screen protector but the screen doesn't stay lit up . The ipad is not compatible with the ipad 2 . The screen protector arrived on time and in good condition and the price was excellent . i would recommend this to anyone looking for a good price and a good deal of easy to use .,copycat_dataset2/aspect_wise_with_opinion/p3/how_is_brand/0.csv
how_is_memory,yes,copycat+huggingface, i. have used this product for several months now and it has been holding up well . The cable is a great value for the price .. i have not had any problems . The only thing i dislike about is not to be <UNK> is not the best ipad .,copycat_dataset2/aspect_wise_with_opinion/p3/how_is_memory/0.csv
how_is_sound,yes,copycat+huggingface, The sensitivity of the sensitivity is not very what else can be said to say about a sensitivity machine . The product arrived on time and in good condition as advertised . The best tablet for the price you can 't go wrong <UNK> the best ipad i have ever owned .,copycat_dataset2/aspect_wise_with_opinion/p3/how_is_sound/0.csv
how_is_camera,yes,copycat+huggingface," The screen protector is a great addition to the touch screen, but battery life is a bit long but it does not take up much space on . The product arrived in a timely manner and packaged well packed with no damage to. the product arrived on time and in good condition .. i can 't wait to use it on my ipad 2 or 3 times a. month .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_camera/0.csv
how_is_quality_of_speaker,yes,copycat+huggingface," reef is a great product for the price you can 't go wrong with the <UNK>. it does what it says it will do, however, i wish it had a little. good power cord for the . price i would recommend it to anyone looking for a good case cover for the. price . this is the best ipad i have ever owned .",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_quality_of_speaker/0.csv
